persona_name,transactionid,accountid,bookingdate,valuedate,amount,currency,creditorname,debtorname,remittanceinfo,direction
bonus_income,2tOy4CqpIqK3yn9FfcgMXAdx9G81aSQHqNgA,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,2025-11-01,-1614.65,GBP,,,D/D VIRGIN ATLANTIC REF:CC-PYMT,debit
bonus_income,3cVQWUYpGhLhwVE7YcA9cuEXBszVMDz6Ray,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,2025-11-01,531.23,GBP,,,BACS SALARY REF:WAGES,debit
bonus_income,4LEgw9YooJeTY8HhO6kGL75UQSyPx3BpdbIK,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,2025-11-01,-35.46,GBP,,,HEATHROW EXPRESS REF:TRAVEL,debit
bonus_income,phyP2V8UWYUyLF4XMyuwvm8HxWr2b8MtJKC,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,2025-11-01,747.22,GBP,,,BACS PAYROLL PRIMARY-ACC REF:SALARY,debit
bonus_income,NbrnTP3fAbnFbmOHnKYaXRvj7uff0LYTH8xI,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-03,2025-11-03,-70.48,GBP,,,D/D SKY DIGITAL REF:SAT-992,debit
bonus_income,eNo41eoPni6JDWYlgAACTP9gyv1plBArp5B1,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-04,2025-11-04,-151.08,GBP,,,HARRODS LTD LONDON SW1,debit
bonus_income,gOHafUozD13kay5WrRTWPElndTdtdD5GdF0e,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-05,2025-11-05,-39.63,GBP,,,HEATHROW EXPRESS REF:TRAVEL,debit
bonus_income,Poh3pKMzKG5mSoyPstUeC99enq522wjZRL9O,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-06,2025-11-06,-371.18,GBP,,,HARRODS LTD LONDON SW1,debit
bonus_income,0ru8zMpnGEvc8KqwAGTbREWcQ39wKdx5PdA,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-08,2025-11-08,630.26,GBP,,,BACS PAYROLL PRIMARY-ACC REF:SALARY,debit
bonus_income,QezmJxp328QfvnGsC5rXa97g6CwzxNrJwxT,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-08,2025-11-08,522.47,GBP,,,BACS SALARY REF:WAGES,debit
