persona_name,transactionid,accountid,bookingdate,valuedate,amount,currency,creditorname,debtorname,remittanceinfo,direction
stable_low_risk,314DgywmxRIGgNoRw8LWH8GlNVVvZ4iZGjQ5o,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-21,2026-04-21,3304.72,USD,,,PLAID INC PAYROLL REG SALARY,debit
stable_low_risk,BPEgx4d7WjsAoLGEW4p5hp6XZEEenJc4qpXVm,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-20,2026-04-20,1500.0,USD,,,AIRBNB Payments PPD ID: 1234567890,debit
stable_low_risk,rEk4VpyboxCykGK3Q7rMhv8PNzzokeC7LApNr,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-20,2026-04-20,-162.24,USD,,,ALDI 123131 PURCHASE ALDI 123123,debit
stable_low_risk,zKpEqkx31eSzaMEk8XN4H1EP3jjbw5TlDyM64,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-20,2026-04-20,-1820.55,USD,,,Southwest Airlines,debit
stable_low_risk,KkvrQ19gWoTvXpx5a13Gh9bawkkBJ8CRg9KrW,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-19,2026-04-19,-137.58,USD,,,Domino's,debit
stable_low_risk,lExzVe58okCx6GWl49JNTo6wKMMn95cp1qn66,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-18,2026-04-18,-121.54,USD,,,ALDI 123131 PURCHASE ALDI 123123,debit
stable_low_risk,qwPaVLpno3tXBW9neNKzTkdVw66xRzfg8jLBX,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-18,2026-04-18,-85.32,USD,,,POS SMART AND FINAL 111,debit
stable_low_risk,kE3r57jgolCGB6X19eJ7HZKwoEEVRGiLrjqAa,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-17,2026-04-17,-197.8,USD,,,Chick-fil-A,debit
stable_low_risk,JLvKeMRoWpH8LD35dMnQFyoZbpp1KjfBpy1wn,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-17,2026-04-17,-181.56,USD,,,POKE BROS * POKE BRO,debit
stable_low_risk,wEMeVW9r1PCx9GlVpQL4TN7DrgglRbCPAp3KL,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-16,2026-04-16,-157.46,USD,,,Amazon,debit
stable_low_risk,5pP1EvGqalIJzR8EwkeKHwJKlGG5pdt5znbjb,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-16,2026-04-16,-168.99,USD,,,TAQUERIA EL GUERRERO,debit
stable_low_risk,D7A9aPjQGeTX9El5DPZRT7zWAGGxqec3mo7GE,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-14,2026-04-14,-67.92,USD,,,Chick-fil-A,debit
stable_low_risk,V4v7AbGKm3Tw1yM5LnG9UaoGZlldykt9bVoNn,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-14,2026-04-14,3241.83,USD,,,PLAID INC PAYROLL REG SALARY,debit
stable_low_risk,XPvDnyEkRdsVzbLljmNqfoMP3ZZj7gcbpX981,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-14,2026-04-14,-162.71,USD,,,Publix,debit
stable_low_risk,6lj1WRNK4qHXmBp3e8LvT4XDqggMr7u8jlmn8,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-13,2026-04-13,-122.38,USD,,,Safeway,debit
stable_low_risk,R3v4gWXbAKH8vQ75Br3EFr3EZRRaLjua7qw5R,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-12,2026-04-12,-58.15,USD,,,POS SMART AND FINAL 111,debit
stable_low_risk,vXZ7VE9KJNTA5Eg4m7NZhLjz577ABMCqaKgVo,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-11,2026-04-11,-98.24,USD,,,Chick-fil-A,debit
stable_low_risk,9rQgnqNBjzURvNzakqVpHKRVznn1MyI4zvkMz,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-11,2026-04-11,-101.56,USD,,,Publix,debit
stable_low_risk,yqLZlGzBR7sWa98jGpPMhLv3a77nmzC4kaop1,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-11,2026-04-11,-159.97,USD,,,Publix,debit
stable_low_risk,mydBVQZEwKSVGErqNbd3fPzmRooqgDfgRo98l,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-10,2026-04-10,-189.34,USD,,,Amazon,debit
stable_low_risk,bEv9VBQ7oMCWRG54l1n6hwde655LkZtmgkEre,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-10,2026-04-10,-51.72,USD,,,INSTACART HTTPSINSTACAR,debit
stable_low_risk,nEa3VZ1W9rCWoG5KPbgVhnkev668LjtAP5ZgR,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-09,2026-04-09,-96.26,USD,,,Home Depot,debit
stable_low_risk,GZvEPeB16MUamKr5XeZjhpRM6AAz1ac6JpqR9,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-09,2026-04-09,-79.78,USD,,,Publix,debit
stable_low_risk,WNveGmgrAxHJgk15BdR3HqmVjGG4rAT6obXqb,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-08,2026-04-08,-38.2,USD,,,POS SMART AND FINAL 111,debit
stable_low_risk,AN8v3abjWPHEVKzZya68hp9lPWWRGwc9Rpa3j,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-08,2026-04-08,-4792.0,USD,,,SLS Mortgage Pay,debit
stable_low_risk,oE4kVMNAozCLzGRrjblMhQvMx66oAdio4Z1G3,nEa3VZ1W9rCWoG5KPbgVhnkVPAPr79tAAQ4AG,2026-04-07,2026-04-07,-44.6,USD,,,Home Depot,debit
